"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2013M11","Mid-East - houses","Base 2015=100","75"
"Residential Property Price Index","2013M11","Mid-West - houses","Base 2015=100","86.5"
"Residential Property Price Index","2013M11","South-East - houses","Base 2015=100","79.1"
"Residential Property Price Index","2013M11","South-West - houses","Base 2015=100","82.6"
"Residential Property Price Index","2013M12","National - all residential properties","Base 2015=100","81.5"
"Residential Property Price Index","2013M12","National - houses","Base 2015=100","82.1"
"Residential Property Price Index","2013M12","National - apartments","Base 2015=100","75.8"
"Residential Property Price Index","2013M12","Dublin - all residential properties","Base 2015=100","79.8"
"Residential Property Price Index","2013M12","Dublin - houses","Base 2015=100","80.5"
"Residential Property Price Index","2013M12","Dublin - apartments","Base 2015=100","75.8"
"Residential Property Price Index","2013M12","Dublin City - houses","Base 2015=100","76.9"
"Residential Property Price Index","2013M12","Dun Laoghaire-Rathdown - houses","Base 2015=100","85.7"
"Residential Property Price Index","2013M12","Fingal - houses","Base 2015=100","77.9"
"Residential Property Price Index","2013M12","South Dublin - houses","Base 2015=100","78.9"
"Residential Property Price Index","2013M12","National excluding Dublin - all residential properties","Base 2015=100","84"
"Residential Property Price Index","2013M12","National excluding Dublin - houses","Base 2015=100","84.1"
"Residential Property Price Index","2013M12","National excluding Dublin - apartments","Base 2015=100","80.9"
"Residential Property Price Index","2013M12","Border - houses","Base 2015=100","91"
"Residential Property Price Index","2013M12","Midland - houses","Base 2015=100","84.2"
"Residential Property Price Index","2013M12","West - houses","Base 2015=100","94.4"
"Residential Property Price Index","2013M12","Mid-East - houses","Base 2015=100","76.2"
"Residential Property Price Index","2013M12","Mid-West - houses","Base 2015=100","87.7"
"Residential Property Price Index","2013M12","South-East - houses","Base 2015=100","79.4"
"Residential Property Price Index","2013M12","South-West - houses","Base 2015=100","84.4"
"Residential Property Price Index","2014M01","National - all residential properties","Base 2015=100","81.6"
"Residential Property Price Index","2014M01","National - houses","Base 2015=100","81.9"
"Residential Property Price Index","2014M01","National - apartments","Base 2015=100","77.3"
"Residential Property Price Index","2014M01","Dublin - all residential properties","Base 2015=100","80.1"
"Residential Property Price Index","2014M01","Dublin - houses","Base 2015=100","80.4"
"Residential Property Price Index","2014M01","Dublin - apartments","Base 2015=100","78.3"
"Residential Property Price Index","2014M01","Dublin City - houses","Base 2015=100","77.5"
"Residential Property Price Index","2014M01","Dun Laoghaire-Rathdown - houses","Base 2015=100","87.2"
"Residential Property Price Index","2014M01","Fingal - houses","Base 2015=100","76.7"
"Residential Property Price Index","2014M01","South Dublin - houses","Base 2015=100","79.8"
"Residential Property Price Index","2014M01","National excluding Dublin - all residential properties","Base 2015=100","83.7"
"Residential Property Price Index","2014M01","National excluding Dublin - houses","Base 2015=100","83.9"
"Residential Property Price Index","2014M01","National excluding Dublin - apartments","Base 2015=100","80.2"
"Residential Property Price Index","2014M01","Border - houses","Base 2015=100","88"
"Residential Property Price Index","2014M01","Midland - houses","Base 2015=100","83.2"
"Residential Property Price Index","2014M01","West - houses","Base 2015=100","94.8"
"Residential Property Price Index","2014M01","Mid-East - houses","Base 2015=100","77.1"
"Residential Property Price Index","2014M01","Mid-West - houses","Base 2015=100","89.4"
"Residential Property Price Index","2014M01","South-East - houses","Base 2015=100","79.8"
"Residential Property Price Index","2014M01","South-West - houses","Base 2015=100","84.5"
"Residential Property Price Index","2014M02","National - all residential properties","Base 2015=100","82"
"Residential Property Price Index","2014M02","National - houses","Base 2015=100","82.3"
"Residential Property Price Index","2014M02","National - apartments","Base 2015=100","78.2"
"Residential Property Price Index","2014M02","Dublin - all residential properties","Base 2015=100","80.5"
"Residential Property Price Index","2014M02","Dublin - houses","Base 2015=100","80.9"
"Residential Property Price Index","2014M02","Dublin - apartments","Base 2015=100","78.5"
"Residential Property Price Index","2014M02","Dublin City - houses","Base 2015=100","78.9"
"Residential Property Price Index","2014M02","Dun Laoghaire-Rathdown - houses","Base 2015=100","87.9"
"Residential Property Price Index","2014M02","Fingal - houses","Base 2015=100","76.2"
"Residential Property Price Index","2014M02","South Dublin - houses","Base 2015=100","80.5"
"Residential Property Price Index","2014M02","National excluding Dublin - all residential properties","Base 2015=100","84"
"Residential Property Price Index","2014M02","National excluding Dublin - houses","Base 2015=100","84"
"Residential Property Price Index","2014M02","National excluding Dublin - apartments","Base 2015=100","83"
"Residential Property Price Index","2014M02","Border - houses","Base 2015=100","87.9"
"Residential Property Price Index","2014M02","Midland - houses","Base 2015=100","83.6"
"Residential Property Price Index","2014M02","West - houses","Base 2015=100","93.6"
"Residential Property Price Index","2014M02","Mid-East - houses","Base 2015=100","78"
"Residential Property Price Index","2014M02","Mid-West - houses","Base 2015=100","89.3"
"Residential Property Price Index","2014M02","South-East - houses","Base 2015=100","81.2"
"Residential Property Price Index","2014M02","South-West - houses","Base 2015=100","84.9"
"Residential Property Price Index","2014M03","National - all residential properties","Base 2015=100","82.5"
"Residential Property Price Index","2014M03","National - houses","Base 2015=100","82.7"
"Residential Property Price Index","2014M03","National - apartments","Base 2015=100","79.5"
"Residential Property Price Index","2014M03","Dublin - all residential properties","Base 2015=100","81.8"
"Residential Property Price Index","2014M03","Dublin - houses","Base 2015=100","82.2"
"Residential Property Price Index","2014M03","Dublin - apartments","Base 2015=100","79.8"
"Residential Property Price Index","2014M03","Dublin City - houses","Base 2015=100","79.5"
"Residential Property Price Index","2014M03","Dun Laoghaire-Rathdown - houses","Base 2015=100","88.5"
"Residential Property Price Index","2014M03","Fingal - houses","Base 2015=100","78.3"
"Residential Property Price Index","2014M03","South Dublin - houses","Base 2015=100","82.4"
"Residential Property Price Index","2014M03","National excluding Dublin - all residential properties","Base 2015=100","83.6"
"Residential Property Price Index","2014M03","National excluding Dublin - houses","Base 2015=100","83.6"
"Residential Property Price Index","2014M03","National excluding Dublin - apartments","Base 2015=100","84.1"
"Residential Property Price Index","2014M03","Border - houses","Base 2015=100","86.5"
"Residential Property Price Index","2014M03","Midland - houses","Base 2015=100","83.9"
"Residential Property Price Index","2014M03","West - houses","Base 2015=100","91.8"
"Residential Property Price Index","2014M03","Mid-East - houses","Base 2015=100","78.6"
"Residential Property Price Index","2014M03","Mid-West - houses","Base 2015=100","88.3"
"Residential Property Price Index","2014M03","South-East - houses","Base 2015=100","82.6"
"Residential Property Price Index","2014M03","South-West - houses","Base 2015=100","84.9"
"Residential Property Price Index","2014M04","National - all residential properties","Base 2015=100","84.3"
"Residential Property Price Index","2014M04","National - houses","Base 2015=100","84.5"
"Residential Property Price Index","2014M04","National - apartments","Base 2015=100","80.9"
"Residential Property Price Index","2014M04","Dublin - all residential properties","Base 2015=100","84.2"
"Residential Property Price Index","2014M04","Dublin - houses","Base 2015=100","84.7"
"Residential Property Price Index","2014M04","Dublin - apartments","Base 2015=100","81.4"
"Residential Property Price Index","2014M04","Dublin City - houses","Base 2015=100","81.8"
"Residential Property Price Index","2014M04","Dun Laoghaire-Rathdown - houses","Base 2015=100","89.1"
"Residential Property Price Index","2014M04","Fingal - houses","Base 2015=100","79.7"
"Residential Property Price Index","2014M04","South Dublin - houses","Base 2015=100","85.4"
"Residential Property Price Index","2014M04","National excluding Dublin - all residential properties","Base 2015=100","84.6"
"Residential Property Price Index","2014M04","National excluding Dublin - houses","Base 2015=100","84.6"
"Residential Property Price Index","2014M04","National excluding Dublin - apartments","Base 2015=100","85.1"
"Residential Property Price Index","2014M04","Border - houses","Base 2015=100","88.4"
"Residential Property Price Index","2014M04","Midland - houses","Base 2015=100","85.6"
"Residential Property Price Index","2014M04","West - houses","Base 2015=100","93.5"
"Residential Property Price Index","2014M04","Mid-East - houses","Base 2015=100","79.3"
"Residential Property Price Index","2014M04","Mid-West - houses","Base 2015=100","87.6"
"Residential Property Price Index","2014M04","South-East - houses","Base 2015=100","83"
"Residential Property Price Index","2014M04","South-West - houses","Base 2015=100","85.3"
"Residential Property Price Index","2014M05","National - all residential properties","Base 2015=100","86.5"
"Residential Property Price Index","2014M05","National - houses","Base 2015=100","86.7"
"Residential Property Price Index","2014M05","National - apartments","Base 2015=100","83.2"
"Residential Property Price Index","2014M05","Dublin - all residential properties","Base 2015=100","87.2"
"Residential Property Price Index","2014M05","Dublin - houses","Base 2015=100","87.5"
"Residential Property Price Index","2014M05","Dublin - apartments","Base 2015=100","84.6"
"Residential Property Price Index","2014M05","Dublin City - houses","Base 2015=100","84.5"
"Residential Property Price Index","2014M05","Dun Laoghaire-Rathdown - houses","Base 2015=100","89.2"
"Residential Property Price Index","2014M05","Fingal - houses","Base 2015=100","83"
"Residential Property Price Index","2014M05","South Dublin - houses","Base 2015=100","88.1"
"Residential Property Price Index","2014M05","National excluding Dublin - all residential properties","Base 2015=100","86"
"Residential Property Price Index","2014M05","National excluding Dublin - houses","Base 2015=100","86"
"Residential Property Price Index","2014M05","National excluding Dublin - apartments","Base 2015=100","85.3"
"Residential Property Price Index","2014M05","Border - houses","Base 2015=100","90.8"
"Residential Property Price Index","2014M05","Midland - houses","Base 2015=100","86.3"
"Residential Property Price Index","2014M05","West - houses","Base 2015=100","94.3"
"Residential Property Price Index","2014M05","Mid-East - houses","Base 2015=100","80.7"
"Residential Property Price Index","2014M05","Mid-West - houses","Base 2015=100","88.7"
"Residential Property Price Index","2014M05","South-East - houses","Base 2015=100","84.4"
"Residential Property Price Index","2014M05","South-West - houses","Base 2015=100","85.2"
"Residential Property Price Index","2014M06","National - all residential properties","Base 2015=100","89"
"Residential Property Price Index","2014M06","National - houses","Base 2015=100","89.2"
"Residential Property Price Index","2014M06","National - apartments","Base 2015=100","85.5"
"Residential Property Price Index","2014M06","Dublin - all residential properties","Base 2015=100","90.8"
"Residential Property Price Index","2014M06","Dublin - houses","Base 2015=100","91.4"
"Residential Property Price Index","2014M06","Dublin - apartments","Base 2015=100","87.1"
"Residential Property Price Index","2014M06","Dublin City - houses","Base 2015=100","87.7"
"Residential Property Price Index","2014M06","Dun Laoghaire-Rathdown - houses","Base 2015=100","91.9"
"Residential Property Price Index","2014M06","Fingal - houses","Base 2015=100","86.4"
"Residential Property Price Index","2014M06","South Dublin - houses","Base 2015=100","90"
"Residential Property Price Index","2014M06","National excluding Dublin - all residential properties","Base 2015=100","87"
"Residential Property Price Index","2014M06","National excluding Dublin - houses","Base 2015=100","87"
"Residential Property Price Index","2014M06","National excluding Dublin - apartments","Base 2015=100","86.9"
"Residential Property Price Index","2014M06","Border - houses","Base 2015=100","87.7"
"Residential Property Price Index","2014M06","Midland - houses","Base 2015=100","88.5"
"Residential Property Price Index","2014M06","West - houses","Base 2015=100","95.1"
"Residential Property Price Index","2014M06","Mid-East - houses","Base 2015=100","82.6"
"Residential Property Price Index","2014M06","Mid-West - houses","Base 2015=100","90.3"
"Residential Property Price Index","2014M06","South-East - houses","Base 2015=100","84.8"
"Residential Property Price Index","2014M06","South-West - houses","Base 2015=100","85.4"
"Residential Property Price Index","2014M07","National - all residential properties","Base 2015=100","91.7"
"Residential Property Price Index","2014M07","National - houses","Base 2015=100","92"
"Residential Property Price Index","2014M07","National - apartments","Base 2015=100","88"
"Residential Property Price Index","2014M07","Dublin - all residential properties","Base 2015=100","94.5"
"Residential Property Price Index","2014M07","Dublin - houses","Base 2015=100","95.4"
"Residential Property Price Index","2014M07","Dublin - apartments","Base 2015=100","89.4"
"Residential Property Price Index","2014M07","Dublin City - houses","Base 2015=100","91.7"
"Residential Property Price Index","2014M07","Dun Laoghaire-Rathdown - houses","Base 2015=100","94.8"
"Residential Property Price Index","2014M07","Fingal - houses","Base 2015=100","89.5"
"Residential Property Price Index","2014M07","South Dublin - houses","Base 2015=100","92.9"
"Residential Property Price Index","2014M07","National excluding Dublin - all residential properties","Base 2015=100","88.5"
"Residential Property Price Index","2014M07","National excluding Dublin - houses","Base 2015=100","88.4"
"Residential Property Price Index","2014M07","National excluding Dublin - apartments","Base 2015=100","90.5"
"Residential Property Price Index","2014M07","Border - houses","Base 2015=100","87.8"
"Residential Property Price Index","2014M07","Midland - houses","Base 2015=100","88.4"
"Residential Property Price Index","2014M07","West - houses","Base 2015=100","95.6"
"Residential Property Price Index","2014M07","Mid-East - houses","Base 2015=100","84.5"
"Residential Property Price Index","2014M07","Mid-West - houses","Base 2015=100","90.4"
"Residential Property Price Index","2014M07","South-East - houses","Base 2015=100","84.7"
"Residential Property Price Index","2014M07","South-West - houses","Base 2015=100","87.4"
"Residential Property Price Index","2014M08","National - all residential properties","Base 2015=100","93.6"
"Residential Property Price Index","2014M08","National - houses","Base 2015=100","93.5"
"Residential Property Price Index","2014M08","National - apartments","Base 2015=100","91.3"
"Residential Property Price Index","2014M08","Dublin - all residential properties","Base 2015=100","96.6"
"Residential Property Price Index","2014M08","Dublin - houses","Base 2015=100","97"
"Residential Property Price Index","2014M08","Dublin - apartments","Base 2015=100","93.7"
"Residential Property Price Index","2014M08","Dublin City - houses","Base 2015=100","94"
"Residential Property Price Index","2014M08","Dun Laoghaire-Rathdown - houses","Base 2015=100","97"
"Residential Property Price Index","2014M08","Fingal - houses","Base 2015=100","91.4"
"Residential Property Price Index","2014M08","South Dublin - houses","Base 2015=100","95.5"
"Residential Property Price Index","2014M08","National excluding Dublin - all residential properties","Base 2015=100","90"
"Residential Property Price Index","2014M08","National excluding Dublin - houses","Base 2015=100","89.9"
"Residential Property Price Index","2014M08","National excluding Dublin - apartments","Base 2015=100","91.7"
"Residential Property Price Index","2014M08","Border - houses","Base 2015=100","90.3"
"Residential Property Price Index","2014M08","Midland - houses","Base 2015=100","88.9"
"Residential Property Price Index","2014M08","West - houses","Base 2015=100","96.6"
"Residential Property Price Index","2014M08","Mid-East - houses","Base 2015=100","86.7"
"Residential Property Price Index","2014M08","Mid-West - houses","Base 2015=100","89.5"
"Residential Property Price Index","2014M08","South-East - houses","Base 2015=100","85.6"
"Residential Property Price Index","2014M08","South-West - houses","Base 2015=100","88.8"
"Residential Property Price Index","2014M09","National - all residential properties","Base 2015=100","95.6"
"Residential Property Price Index","2014M09","National - houses","Base 2015=100","95.2"
"Residential Property Price Index","2014M09","National - apartments","Base 2015=100","95.2"
"Residential Property Price Index","2014M09","Dublin - all residential properties","Base 2015=100","99"
"Residential Property Price Index","2014M09","Dublin - houses","Base 2015=100","98.7"
"Residential Property Price Index","2014M09","Dublin - apartments","Base 2015=100","98.9"
"Residential Property Price Index","2014M09","Dublin City - houses","Base 2015=100","97"
"Residential Property Price Index","2014M09","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.2"
"Residential Property Price Index","2014M09","Fingal - houses","Base 2015=100","93.4"
"Residential Property Price Index","2014M09","South Dublin - houses","Base 2015=100","97.3"
"Residential Property Price Index","2014M09","National excluding Dublin - all residential properties","Base 2015=100","91.5"
"Residential Property Price Index","2014M09","National excluding Dublin - houses","Base 2015=100","91.5"
"Residential Property Price Index","2014M09","National excluding Dublin - apartments","Base 2015=100","91.9"
"Residential Property Price Index","2014M09","Border - houses","Base 2015=100","90.9"
"Residential Property Price Index","2014M09","Midland - houses","Base 2015=100","90.1"
"Residential Property Price Index","2014M09","West - houses","Base 2015=100","98.4"
"Residential Property Price Index","2014M09","Mid-East - houses","Base 2015=100","88.7"
"Residential Property Price Index","2014M09","Mid-West - houses","Base 2015=100","90.2"
"Residential Property Price Index","2014M09","South-East - houses","Base 2015=100","87.6"
"Residential Property Price Index","2014M09","South-West - houses","Base 2015=100","89.9"
"Residential Property Price Index","2014M10","National - all residential properties","Base 2015=100","96.6"
"Residential Property Price Index","2014M10","National - houses","Base 2015=100","96.2"
"Residential Property Price Index","2014M10","National - apartments","Base 2015=100","97.3"
"Residential Property Price Index","2014M10","Dublin - all residential properties","Base 2015=100","99.5"
"Residential Property Price Index","2014M10","Dublin - houses","Base 2015=100","99.1"
"Residential Property Price Index","2014M10","Dublin - apartments","Base 2015=100","101"
"Residential Property Price Index","2014M10","Dublin City - houses","Base 2015=100","98.8"
"Residential Property Price Index","2014M10","Dun Laoghaire-Rathdown - houses","Base 2015=100","100.5"
"Residential Property Price Index","2014M10","Fingal - houses","Base 2015=100","94.6"
"Residential Property Price Index","2014M10","South Dublin - houses","Base 2015=100","99.1"
"Residential Property Price Index","2014M10","National excluding Dublin - all residential properties","Base 2015=100","93.1"
"Residential Property Price Index","2014M10","National excluding Dublin - houses","Base 2015=100","93.2"
"Residential Property Price Index","2014M10","National excluding Dublin - apartments","Base 2015=100","92.1"
"Residential Property Price Index","2014M10","Border - houses","Base 2015=100","93.2"
"Residential Property Price Index","2014M10","Midland - houses","Base 2015=100","91.5"
"Residential Property Price Index","2014M10","West - houses","Base 2015=100","99.3"
"Residential Property Price Index","2014M10","Mid-East - houses","Base 2015=100","90.5"
"Residential Property Price Index","2014M10","Mid-West - houses","Base 2015=100","92"
"Residential Property Price Index","2014M10","South-East - houses","Base 2015=100","89.6"
"Residential Property Price Index","2014M10","South-West - houses","Base 2015=100","91.4"
"Residential Property Price Index","2014M11","National - all residential properties","Base 2015=100","96.9"
"Residential Property Price Index","2014M11","National - houses","Base 2015=100","96.6"
"Residential Property Price Index","2014M11","National - apartments","Base 2015=100","98.7"
"Residential Property Price Index","2014M11","Dublin - all residential properties","Base 2015=100","99.3"
"Residential Property Price Index","2014M11","Dublin - houses","Base 2015=100","99"
"Residential Property Price Index","2014M11","Dublin - apartments","Base 2015=100","101.4"
"Residential Property Price Index","2014M11","Dublin City - houses","Base 2015=100","100.5"
"Residential Property Price Index","2014M11","Dun Laoghaire-Rathdown - houses","Base 2015=100","100.8"
"Residential Property Price Index","2014M11","Fingal - houses","Base 2015=100","95.7"
"Residential Property Price Index","2014M11","South Dublin - houses","Base 2015=100","99.8"
"Residential Property Price Index","2014M11","National excluding Dublin - all residential properties","Base 2015=100","94.2"
"Residential Property Price Index","2014M11","National excluding Dublin - houses","Base 2015=100","94.2"
"Residential Property Price Index","2014M11","National excluding Dublin - apartments","Base 2015=100","93.6"
"Residential Property Price Index","2014M11","Border - houses","Base 2015=100","94.4"
"Residential Property Price Index","2014M11","Midland - houses","Base 2015=100","91"
"Residential Property Price Index","2014M11","West - houses","Base 2015=100","100.4"
"Residential Property Price Index","2014M11","Mid-East - houses","Base 2015=100","92.5"
"Residential Property Price Index","2014M11","Mid-West - houses","Base 2015=100","92"
"Residential Property Price Index","2014M11","South-East - houses","Base 2015=100","91.9"
"Residential Property Price Index","2014M11","South-West - houses","Base 2015=100","92.5"
"Residential Property Price Index","2014M12","National - all residential properties","Base 2015=100","96.2"
"Residential Property Price Index","2014M12","National - houses","Base 2015=100","96"
"Residential Property Price Index","2014M12","National - apartments","Base 2015=100","99.1"
"Residential Property Price Index","2014M12","Dublin - all residential properties","Base 2015=100","97.9"
"Residential Property Price Index","2014M12","Dublin - houses","Base 2015=100","97.7"
"Residential Property Price Index","2014M12","Dublin - apartments","Base 2015=100","100.5"
"Residential Property Price Index","2014M12","Dublin City - houses","Base 2015=100","100.3"
"Residential Property Price Index","2014M12","Dun Laoghaire-Rathdown - houses","Base 2015=100","100.6"
"Residential Property Price Index","2014M12","Fingal - houses","Base 2015=100","96"
"Residential Property Price Index","2014M12","South Dublin - houses","Base 2015=100","99.7"
"Residential Property Price Index","2014M12","National excluding Dublin - all residential properties","Base 2015=100","94.3"
"Residential Property Price Index","2014M12","National excluding Dublin - houses","Base 2015=100","94.4"
"Residential Property Price Index","2014M12","National excluding Dublin - apartments","Base 2015=100","93.9"
"Residential Property Price Index","2014M12","Border - houses","Base 2015=100","95.2"
"Residential Property Price Index","2014M12","Midland - houses","Base 2015=100","91.5"
"Residential Property Price Index","2014M12","West - houses","Base 2015=100","98.6"
"Residential Property Price Index","2014M12","Mid-East - houses","Base 2015=100","93.9"
"Residential Property Price Index","2014M12","Mid-West - houses","Base 2015=100","93"
"Residential Property Price Index","2014M12","South-East - houses","Base 2015=100","93.2"
"Residential Property Price Index","2014M12","South-West - houses","Base 2015=100","93.8"
"Residential Property Price Index","2015M01","National - all residential properties","Base 2015=100","96.5"
"Residential Property Price Index","2015M01","National - houses","Base 2015=100","96.3"
"Residential Property Price Index","2015M01","National - apartments","Base 2015=100","99.9"
"Residential Property Price Index","2015M01","Dublin - all residential properties","Base 2015=100","98.3"
"Residential Property Price Index","2015M01","Dublin - houses","Base 2015=100","98"
"Residential Property Price Index","2015M01","Dublin - apartments","Base 2015=100","100.9"
"Residential Property Price Index","2015M01","Dublin City - houses","Base 2015=100","100.5"
"Residential Property Price Index","2015M01","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.8"
"Residential Property Price Index","2015M01","Fingal - houses","Base 2015=100","97.6"
"Residential Property Price Index","2015M01","South Dublin - houses","Base 2015=100","101.4"
"Residential Property Price Index","2015M01","National excluding Dublin - all residential properties","Base 2015=100","94.6"
"Residential Property Price Index","2015M01","National excluding Dublin - houses","Base 2015=100","94.7"
"Residential Property Price Index","2015M01","National excluding Dublin - apartments","Base 2015=100","94.3"
"Residential Property Price Index","2015M01","Border - houses","Base 2015=100","94.6"
"Residential Property Price Index","2015M01","Midland - houses","Base 2015=100","94.6"
"Residential Property Price Index","2015M01","West - houses","Base 2015=100","96.8"
"Residential Property Price Index","2015M01","Mid-East - houses","Base 2015=100","95.4"
"Residential Property Price Index","2015M01","Mid-West - houses","Base 2015=100","94.7"
"Residential Property Price Index","2015M01","South-East - houses","Base 2015=100","94.5"
"Residential Property Price Index","2015M01","South-West - houses","Base 2015=100","94"
"Residential Property Price Index","2015M02","National - all residential properties","Base 2015=100","96.2"
"Residential Property Price Index","2015M02","National - houses","Base 2015=100","96.2"
"Residential Property Price Index","2015M02","National - apartments","Base 2015=100","99.1"
"Residential Property Price Index","2015M02","Dublin - all residential properties","Base 2015=100","97.9"
"Residential Property Price Index","2015M02","Dublin - houses","Base 2015=100","97.9"
"Residential Property Price Index","2015M02","Dublin - apartments","Base 2015=100","99.2"
"Residential Property Price Index","2015M02","Dublin City - houses","Base 2015=100","100.8"
"Residential Property Price Index","2015M02","Dun Laoghaire-Rathdown - houses","Base 2015=100","98.1"
"Residential Property Price Index","2015M02","Fingal - houses","Base 2015=100","98.2"
"Residential Property Price Index","2015M02","South Dublin - houses","Base 2015=100","102"
"Residential Property Price Index","2015M02","National excluding Dublin - all residential properties","Base 2015=100","94.5"
"Residential Property Price Index","2015M02","National excluding Dublin - houses","Base 2015=100","94.6"
"Residential Property Price Index","2015M02","National excluding Dublin - apartments","Base 2015=100","93.7"
"Residential Property Price Index","2015M02","Border - houses","Base 2015=100","95"
"Residential Property Price Index","2015M02","Midland - houses","Base 2015=100","95.1"
"Residential Property Price Index","2015M02","West - houses","Base 2015=100","95.7"
"Residential Property Price Index","2015M02","Mid-East - houses","Base 2015=100","96.1"
"Residential Property Price Index","2015M02","Mid-West - houses","Base 2015=100","94.1"
"Residential Property Price Index","2015M02","South-East - houses","Base 2015=100","95.4"
"Residential Property Price Index","2015M02","South-West - houses","Base 2015=100","94.9"
"Residential Property Price Index","2015M03","National - all residential properties","Base 2015=100","96.5"
"Residential Property Price Index","2015M03","National - houses","Base 2015=100","96.7"
"Residential Property Price Index","2015M03","National - apartments","Base 2015=100","98"
"Residential Property Price Index","2015M03","Dublin - all residential properties","Base 2015=100","97.8"
"Residential Property Price Index","2015M03","Dublin - houses","Base 2015=100","98.7"
"Residential Property Price Index","2015M03","Dublin - apartments","Base 2015=100","95.6"
"Residential Property Price Index","2015M03","Dublin City - houses","Base 2015=100","100.2"
"Residential Property Price Index","2015M03","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.3"
"Residential Property Price Index","2015M03","Fingal - houses","Base 2015=100","98.5"
"Residential Property Price Index","2015M03","South Dublin - houses","Base 2015=100","102.1"
"Residential Property Price Index","2015M03","National excluding Dublin - all residential properties","Base 2015=100","95.2"
"Residential Property Price Index","2015M03","National excluding Dublin - houses","Base 2015=100","94.9"
"Residential Property Price Index","2015M03","National excluding Dublin - apartments","Base 2015=100","97.9"
"Residential Property Price Index","2015M03","Border - houses","Base 2015=100","95.7"
"Residential Property Price Index","2015M03","Midland - houses","Base 2015=100","96.4"
"Residential Property Price Index","2015M03","West - houses","Base 2015=100","96"
"Residential Property Price Index","2015M03","Mid-East - houses","Base 2015=100","96.4"
"Residential Property Price Index","2015M03","Mid-West - houses","Base 2015=100","95.5"
"Residential Property Price Index","2015M03","South-East - houses","Base 2015=100","94.8"
"Residential Property Price Index","2015M03","South-West - houses","Base 2015=100","95.5"
"Residential Property Price Index","2015M04","National - all residential properties","Base 2015=100","97.3"
"Residential Property Price Index","2015M04","National - houses","Base 2015=100","97.6"
"Residential Property Price Index","2015M04","National - apartments","Base 2015=100","97.4"
"Residential Property Price Index","2015M04","Dublin - all residential properties","Base 2015=100","97.9"
"Residential Property Price Index","2015M04","Dublin - houses","Base 2015=100","98.7"
"Residential Property Price Index","2015M04","Dublin - apartments","Base 2015=100","95.3"
"Residential Property Price Index","2015M04","Dublin City - houses","Base 2015=100","99.2"
"Residential Property Price Index","2015M04","Dun Laoghaire-Rathdown - houses","Base 2015=100","99.9"
"Residential Property Price Index","2015M04","Fingal - houses","Base 2015=100","98.3"
"Residential Property Price Index","2015M04","South Dublin - houses","Base 2015=100","101.6"
"Residential Property Price Index","2015M04","National excluding Dublin - all residential properties","Base 2015=100","96.7"
"Residential Property Price Index","2015M04","National excluding Dublin - houses","Base 2015=100","96.7"
"Residential Property Price Index","2015M04","National excluding Dublin - apartments","Base 2015=100","97.2"
"Residential Property Price Index","2015M04","Border - houses","Base 2015=100","95.9"
"Residential Property Price Index","2015M04","Midland - houses","Base 2015=100","95.5"
"Residential Property Price Index","2015M04","West - houses","Base 2015=100","96.9"
"Residential Property Price Index","2015M04","Mid-East - houses","Base 2015=100","97.4"
"Residential Property Price Index","2015M04","Mid-West - houses","Base 2015=100","96.6"
"Residential Property Price Index","2015M04","South-East - houses","Base 2015=100","96.7"
"Residential Property Price Index","2015M04","South-West - houses","Base 2015=100","97.4"
"Residential Property Price Index","2015M05","National - all residential properties","Base 2015=100","98.4"
"Residential Property Price Index","2015M05","National - houses","Base 2015=100","98.7"
"Residential Property Price Index","2015M05","National - apartments","Base 2015=100","97.7"
"Residential Property Price Index","2015M05","Dublin - all residential properties","Base 2015=100","98.5"
"Residential Property Price Index","2015M05","Dublin - houses","Base 2015=100","98.9"
"Residential Property Price Index","2015M05","Dublin - apartments","Base 2015=100","96.5"
"Residential Property Price Index","2015M05","Dublin City - houses","Base 2015=100","99.1"
"Residential Property Price Index","2015M05","Dun Laoghaire-Rathdown - houses","Base 2015=100","99"
"Residential Property Price Index","2015M05","Fingal - houses","Base 2015=100","99.4"
"Residential Property Price Index","2015M05","South Dublin - houses","Base 2015=100","100.6"
"Residential Property Price Index","2015M05","National excluding Dublin - all residential properties","Base 2015=100","98.4"
"Residential Property Price Index","2015M05","National excluding Dublin - houses","Base 2015=100","98.4"
"Residential Property Price Index","2015M05","National excluding Dublin - apartments","Base 2015=100","97.5"
"Residential Property Price Index","2015M05","Border - houses","Base 2015=100","96.6"
"Residential Property Price Index","2015M05","Midland - houses","Base 2015=100","95.8"
"Residential Property Price Index","2015M05","West - houses","Base 2015=100","98"
"Residential Property Price Index","2015M05","Mid-East - houses","Base 2015=100","98.4"
"Residential Property Price Index","2015M05","Mid-West - houses","Base 2015=100","99.1"
"Residential Property Price Index","2015M05","South-East - houses","Base 2015=100","98.2"
"Residential Property Price Index","2015M05","South-West - houses","Base 2015=100","98.7"
"Residential Property Price Index","2015M06","National - all residential properties","Base 2015=100","100"
"Residential Property Price Index","2015M06","National - houses","Base 2015=100","100"
"Residential Property Price Index","2015M06","National - apartments","Base 2015=100","98.8"
"Residential Property Price Index","2015M06","Dublin - all residential properties","Base 2015=100","99.9"
"Residential Property Price Index","2015M06","Dublin - houses","Base 2015=100","99.8"
