"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005M04","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","National - all residential properties","Base 2015=100","128.4"
"Residential Property Price Index","2005M05","National - houses","Base 2015=100","124.6"
"Residential Property Price Index","2005M05","National - apartments","Base 2015=100","153.7"
"Residential Property Price Index","2005M05","Dublin - all residential properties","Base 2015=100","123.7"
"Residential Property Price Index","2005M05","Dublin - houses","Base 2015=100","117.4"
"Residential Property Price Index","2005M05","Dublin - apartments","Base 2015=100","150.1"
"Residential Property Price Index","2005M05","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","National excluding Dublin - all residential properties","Base 2015=100","144.8"
"Residential Property Price Index","2005M05","National excluding Dublin - houses","Base 2015=100","142.5"
"Residential Property Price Index","2005M05","National excluding Dublin - apartments","Base 2015=100","184"
"Residential Property Price Index","2005M05","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","National - all residential properties","Base 2015=100","129.5"
"Residential Property Price Index","2005M06","National - houses","Base 2015=100","126"
"Residential Property Price Index","2005M06","National - apartments","Base 2015=100","153.2"
"Residential Property Price Index","2005M06","Dublin - all residential properties","Base 2015=100","123.8"
"Residential Property Price Index","2005M06","Dublin - houses","Base 2015=100","117.7"
"Residential Property Price Index","2005M06","Dublin - apartments","Base 2015=100","149.4"
"Residential Property Price Index","2005M06","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","National excluding Dublin - all residential properties","Base 2015=100","146.7"
"Residential Property Price Index","2005M06","National excluding Dublin - houses","Base 2015=100","144.5"
"Residential Property Price Index","2005M06","National excluding Dublin - apartments","Base 2015=100","183.6"
"Residential Property Price Index","2005M06","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M06","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","National - all residential properties","Base 2015=100","131.6"
"Residential Property Price Index","2005M07","National - houses","Base 2015=100","128.2"
"Residential Property Price Index","2005M07","National - apartments","Base 2015=100","153.6"
"Residential Property Price Index","2005M07","Dublin - all residential properties","Base 2015=100","125.3"
"Residential Property Price Index","2005M07","Dublin - houses","Base 2015=100","119.7"
"Residential Property Price Index","2005M07","Dublin - apartments","Base 2015=100","148.8"
"Residential Property Price Index","2005M07","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","National excluding Dublin - all residential properties","Base 2015=100","149.3"
"Residential Property Price Index","2005M07","National excluding Dublin - houses","Base 2015=100","147.1"
"Residential Property Price Index","2005M07","National excluding Dublin - apartments","Base 2015=100","187.2"
"Residential Property Price Index","2005M07","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M07","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","National - all residential properties","Base 2015=100","133.8"
"Residential Property Price Index","2005M08","National - houses","Base 2015=100","130.2"
"Residential Property Price Index","2005M08","National - apartments","Base 2015=100","155.8"
"Residential Property Price Index","2005M08","Dublin - all residential properties","Base 2015=100","127.7"
"Residential Property Price Index","2005M08","Dublin - houses","Base 2015=100","122"
"Residential Property Price Index","2005M08","Dublin - apartments","Base 2015=100","150.6"
"Residential Property Price Index","2005M08","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","National excluding Dublin - all residential properties","Base 2015=100","151.6"
"Residential Property Price Index","2005M08","National excluding Dublin - houses","Base 2015=100","149.1"
"Residential Property Price Index","2005M08","National excluding Dublin - apartments","Base 2015=100","193.7"
"Residential Property Price Index","2005M08","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M08","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","National - all residential properties","Base 2015=100","135.2"
"Residential Property Price Index","2005M09","National - houses","Base 2015=100","131.3"
"Residential Property Price Index","2005M09","National - apartments","Base 2015=100","158.3"
"Residential Property Price Index","2005M09","Dublin - all residential properties","Base 2015=100","130"
"Residential Property Price Index","2005M09","Dublin - houses","Base 2015=100","123.8"
"Residential Property Price Index","2005M09","Dublin - apartments","Base 2015=100","153.8"
"Residential Property Price Index","2005M09","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","National excluding Dublin - all residential properties","Base 2015=100","152.7"
"Residential Property Price Index","2005M09","National excluding Dublin - houses","Base 2015=100","150.1"
"Residential Property Price Index","2005M09","National excluding Dublin - apartments","Base 2015=100","197.2"
"Residential Property Price Index","2005M09","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M09","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","National - all residential properties","Base 2015=100","138.1"
"Residential Property Price Index","2005M10","National - houses","Base 2015=100","134.1"
"Residential Property Price Index","2005M10","National - apartments","Base 2015=100","161.4"
"Residential Property Price Index","2005M10","Dublin - all residential properties","Base 2015=100","133.7"
"Residential Property Price Index","2005M10","Dublin - houses","Base 2015=100","127.7"
"Residential Property Price Index","2005M10","Dublin - apartments","Base 2015=100","156.2"
"Residential Property Price Index","2005M10","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","National excluding Dublin - all residential properties","Base 2015=100","155.3"
"Residential Property Price Index","2005M10","National excluding Dublin - houses","Base 2015=100","152.5"
"Residential Property Price Index","2005M10","National excluding Dublin - apartments","Base 2015=100","205"
"Residential Property Price Index","2005M10","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M10","Mid-West - houses","Base 2015=100",""
